"billing_country","average_total_sale","number_of_invoices","total_sale","total_sale_percentrage_of_market"
"India","5.7892307692307692","13","75.26","3.23"
"Finland","5.9457142857142857","7","41.62","1.79"
"Portugal","5.5171428571428571","14","77.24","3.32"
"United Kingdom","5.3742857142857143","21","112.86","4.85"
"Argentina","5.3742857142857143","7","37.62","1.62"
"Australia","5.3742857142857143","7","37.62","1.62"
"Canada","5.4278571428571429","56","303.96","13.05"
"Italy","5.3742857142857143","7","37.62","1.62"
"Ireland","6.5171428571428571","7","45.62","1.96"
"Chile","6.6600000000000000","7","46.62","2.00"
"USA","5.7479120879120879","91","523.06","22.46"
"Spain","5.3742857142857143","7","37.62","1.62"
"Sweden","5.5171428571428571","7","38.62","1.66"
"Hungary","6.5171428571428571","7","45.62","1.96"
"Denmark","5.3742857142857143","7","37.62","1.62"
"Norway","5.6600000000000000","7","39.62","1.70"
"Poland","5.3742857142857143","7","37.62","1.62"
"Netherlands","5.8028571428571429","7","40.62","1.74"
"Brazil","5.4314285714285714","35","190.10","8.16"
"Austria","6.0885714285714286","7","42.62","1.83"
"Czech Republic","6.4457142857142857","14","90.24","3.88"
"Germany","5.5885714285714286","28","156.48","6.72"
"Belgium","5.3742857142857143","7","37.62","1.62"
"France","5.5742857142857143","35","195.10","8.38"
