"genre_name","genre_sale_value","percentage_of_total_sale_value"
"Rock","826.65","35.50"
"Latin","382.14","16.41"
"Metal","261.36","11.22"
"Alternative & Punk","241.56","10.37"
"TV Shows","93.53","4.02"
"Jazz","79.20","3.40"
"Blues","60.39","2.59"
"Drama","57.71","2.48"
"Classical","40.59","1.74"
"R&B/Soul","40.59","1.74"
"Sci Fi & Fantasy","39.80","1.71"
"Reggae","29.70","1.28"
"Pop","27.72","1.19"
"Soundtrack","19.80","0.85"
"Comedy","17.91","0.77"
"Hip Hop/Rap","16.83","0.72"
"Bossa Nova","14.85","0.64"
"Alternative","13.86","0.60"
"World","12.87","0.55"
"Heavy Metal","11.88","0.51"
"Electronica/Dance","11.88","0.51"
"Science Fiction","11.94","0.51"
"Easy Listening","9.90","0.43"
"Rock And Roll","5.94","0.26"
